"Variable_Name","Variable_Label","Variable_Definition","R_Datatype","Python_Datatype","Pandas_Datatype","Values","Maximum_Number_of_Different_Values_in_the_Dataset","Comment","Type_of_Variable"
"Plaquetas (10^3/uL) (1234 - si no dispone de datos)","platelets","Platelets (10^3/uL) at the arrival to the emergency department","numeric","int","int64","From 0 to inf, NA (Missing value)","300",NA,"Predictor"
"VCM (fL) (1234 - si no dispone de datos)","mcv","Mean corpuscular volume (fL) at the arrival to the emergency department","numeric","float","float64","From 0 to inf, NA (Missing value)","300",NA,"Predictor"
"ADE (%) (1234 - si no dispone de datos)","rdw","Red cell distribution width (RDW) (%) at the arrival to the emergency department","numeric","float","float64","From 0 to inf, NA (Missing value)","300",NA,"Predictor"
"C.H.C.M. (g/dL) (1234 - si no dispone de datos)","mchc","Mean corpuscular hemoglobin concentration (MCHC) (g/dL) at the arrival to the emergency department","numeric","int","int64","From 0 to inf, NA (Missing value)","300",NA,"Predictor"
"V.P.M. (fL) (1234 - si no dispone de datos)","mpv","Mean platelet volume (MPV) (fL) at the arrival to the emergency department","numeric","float","float64","From 0 to inf, NA (Missing value)","300",NA,"Predictor"
"HCM (pg) (1234 - si no dispone de datos)","mch","Mean corpuscular hemoglobin (MCH) (pg) at the arrival to the emergency department","numeric","float","float64","From 0 to inf, NA (Missing value)","300",NA,"Predictor"
"INR (1234 - si no dispone de datos)","inr","International Normalised Ratio (INR) at the arrival to the emergency department","numeric","float","float64","From 0 to inf, NA (Missing value)","300",NA,"Predictor"
"Fibrinógeno (mg/dL) (1234 - si no dispone de datos)","fibrinogen","Fibrinogen level (mg/dL) at the arrival to the emergency department","numeric","float","float64","From 0 to inf, NA (Missing value)","300",NA,"Predictor"
"Fibrinógeno máximo registrado durante el ingreso","maxfibrinogen","Maximum fibrinogen level (mg/dL) during the hospitalization","numeric","int","int64","From 0 to inf, NA (Missing value)","300",NA,"Predictor"
"Time between head CT scan and blood analysis (days)","time_between_CT_bloodanalysis","Time passed between the performance of the head-CT scan and the blood analysis (days)","numeric","int","int64","From 0 to inf","300","Values can be negative if blood analysis was prior to the head-CT scan. This variable was not collected; it was calculated by subtracting date_blooda from date_ct.","Auxiliary"
"Age at the hospital admission date (years)","age","Patient age at the hospital admission date (years)","numeric","int","int64","From 0 to inf","300","This variable was not collected; it was calculated from date_adm and date_birth.","Predictor"
"Survival days after admission (days)","survival_days","Total survival days after admission date (days)","numeric","int","int64","From 0 to inf","300","This variable was not collected; it was calculated by subtracting date_adm from date_death (if patient still alive, the end of the study date - 2020-06-30 - is used as the death date).","Outcome"
